payment_id_PK,customer_id_FK,payment_method,date,amount
101,338,bank card,04.01.2020 09:59 AM,22.0
102,164,bank card,04.01.2020 10:36 AM,22.0
103,1153,bank card,04.01.2020 11:26 AM,21.0
104,1314,bank card,04.01.2020 12:07 AM,22.0
105,1240,from terminal,04.01.2020 12:45 AM,24.0
106,343,bank card,04.01.2020 01:01 PM,18.0
107,1271,bank card,04.01.2020 01:36 PM,23.0
108,1099,bank card,04.01.2020 01:38 PM,21.0
109,1134,bank card,04.01.2020 02:04 PM,140.0
110,912,bank card,04.01.2020 03:34 PM,22.0
111,905,bank card,04.01.2020 03:53 PM,21.0
112,272,from terminal,04.01.2020 04:31 PM,90.0
113,239,bank card,04.01.2020 06:38 PM,20.0
114,583,from terminal,04.01.2020 08:36 PM,50.0
115,174,bank card,04.01.2020 09:16 PM,22.0
116,324,from another phone,04.01.2020 09:50 PM,50.0
117,870,bank card,04.01.2020 11:29 PM,15.0
118,1082,bank card,04.01.2020 11:57 PM,24.0
119,97,bank card,04.01.2020 12:09 PM,27.0
120,1231,from terminal,04.01.2020 12:31 PM,19.0
121,1357,bank card,05.01.2020 01:45 AM,24.0
122,617,from terminal,05.01.2020 02:08 AM,15.0
123,871,bank card,05.01.2020 02:12 AM,50.0
124,336,from terminal,05.01.2020 03:48 AM,24.0
125,860,from another phone,05.01.2020 04:17 AM,23.0
126,831,bank card,05.01.2020 05:09 AM,22.0
127,590,bank card,05.01.2020 06:04 AM,90.0
128,879,bank card,05.01.2020 06:14 AM,50.0
129,312,bank card,05.01.2020 07:26 AM,22.0
130,352,bank card,05.01.2020 09:55 AM,50.0
131,329,bank card,05.01.2020 10:30 AM,50.0
132,1108,from another phone,05.01.2020 12:07 AM,26.0
133,1037,bank card,05.01.2020 12:14 AM,10.0
134,727,bank card,05.01.2020 12:36 AM,15.0
135,739,bank card,05.01.2020 01:37 PM,20.0
136,1279,bank card,05.01.2020 03:31 PM,20.0
137,3,bank card,05.01.2020 04:07 PM,19.0
138,104,from terminal,05.01.2020 04:29 PM,21.0
139,281,bank card,05.01.2020 04:34 PM,15.0
140,949,bank card,05.01.2020 05:14 PM,21.0
141,789,from another phone,05.01.2020 05:21 PM,24.0
142,148,bank card,05.01.2020 05:35 PM,25.0
143,359,bank card,05.01.2020 06:22 PM,22.0
144,58,from terminal,05.01.2020 06:30 PM,27.0
145,357,bank card,05.01.2020 06:58 PM,140.0
146,1159,from terminal,05.01.2020 07:06 PM,22.0
147,46,from terminal,05.01.2020 07:06 PM,22.0
148,1017,from terminal,05.01.2020 07:19 PM,24.0
149,1071,from terminal,05.01.2020 07:42 PM,15.0
150,879,bank card,05.01.2020 08:37 PM,16.0
151,868,from terminal,05.01.2020 08:38 PM,10.0
152,56,bank card,05.01.2020 09:28 PM,19.0
153,391,from terminal,05.01.2020 09:31 PM,23.0
154,1183,from terminal,05.01.2020 10:38 PM,24.0
155,708,from terminal,05.01.2020 11:41 PM,19.0
156,916,bank card,05.01.2020 12:56 PM,140.0
157,1087,from terminal,06.01.2020 01:31 AM,21.0
158,1399,bank card,06.01.2020 01:42 AM,50.0
159,447,from terminal,06.01.2020 01:52 AM,50.0
160,637,bank card,06.01.2020 01:54 AM,23.0
161,954,bank card,06.01.2020 05:38 AM,22.0
162,657,bank card,06.01.2020 06:16 AM,21.0
163,1182,bank card,06.01.2020 06:19 AM,50.0
164,1070,bank card,06.01.2020 09:15 AM,16.0
165,665,bank card,06.01.2020 10:16 AM,50.0
166,84,bank card,06.01.2020 11:01 AM,23.0
167,146,bank card,06.01.2020 11:49 AM,19.0
168,1109,bank card,06.01.2020 11:49 AM,20.0
169,894,from another phone,06.01.2020 11:51 AM,22.0
170,1283,bank card,06.01.2020 11:54 AM,25.0
171,913,from another phone,06.01.2020 12:20 AM,23.0
172,209,bank card,06.01.2020 12:38 AM,23.0
173,383,bank card,06.01.2020 12:50 AM,26.0
174,119,from terminal,06.01.2020 01:06 PM,50.0
175,1049,from another phone,06.01.2020 01:55 PM,24.0
176,1280,from terminal,06.01.2020 02:57 PM,22.0
177,104,bank card,06.01.2020 03:13 PM,23.0
178,697,bank card,06.01.2020 04:20 PM,22.0
179,1304,from another phone,06.01.2020 04:33 PM,28.0
180,96,bank card,06.01.2020 05:55 PM,23.0
181,571,bank card,06.01.2020 06:54 PM,27.0
182,1246,bank card,06.01.2020 08:44 PM,25.0
183,764,from terminal,06.01.2020 09:15 PM,50.0
184,1368,bank card,07.01.2020 01:00 AM,20.0
185,543,bank card,07.01.2020 01:26 AM,16.0
186,1293,bank card,07.01.2020 02:28 AM,10.0
187,1058,bank card,07.01.2020 02:28 AM,10.0
188,543,from terminal,07.01.2020 02:57 AM,25.0
189,324,from terminal,07.01.2020 05:30 AM,10.0
190,180,from terminal,07.01.2020 07:00 AM,15.0
191,800,bank card,07.01.2020 07:32 AM,90.0
192,260,bank card,07.01.2020 07:43 AM,90.0
193,35,from terminal,07.01.2020 08:26 AM,22.0
194,876,bank card,07.01.2020 08:31 AM,50.0
195,579,bank card,07.01.2020 08:54 AM,50.0
196,537,bank card,07.01.2020 10:07 AM,50.0
197,7,bank card,07.01.2020 10:56 AM,21.0
198,462,bank card,07.01.2020 11:01 AM,20.0
199,275,bank card,07.01.2020 11:23 AM,25.0
200,819,bank card,07.01.2020 11:27 AM,90.0
201,1032,bank card,07.01.2020 12:16 AM,23.0
202,209,bank card,07.01.2020 01:43 PM,90.0
203,1366,from another phone,07.01.2020 01:57 PM,50.0
204,244,from another phone,07.01.2020 01:59 PM,21.0
205,7,bank card,07.01.2020 03:52 PM,31.0
206,154,bank card,07.01.2020 05:15 PM,24.0
207,1142,from another phone,07.01.2020 06:50 PM,25.0
208,215,bank card,07.01.2020 06:57 PM,22.0
209,1022,from terminal,07.01.2020 07:19 PM,50.0
210,76,bank card,07.01.2020 08:28 PM,26.0
211,478,bank card,07.01.2020 09:35 PM,90.0
212,184,bank card,07.01.2020 12:31 PM,21.0
213,824,bank card,08.01.2020 01:08 AM,24.0
214,1320,bank card,08.01.2020 02:59 AM,24.0
215,858,bank card,08.01.2020 03:01 AM,90.0
216,215,bank card,08.01.2020 04:18 AM,16.0
217,1286,from terminal,08.01.2020 04:25 AM,25.0
218,1330,from terminal,08.01.2020 06:16 AM,23.0
219,689,bank card,08.01.2020 06:34 AM,25.0
220,865,bank card,08.01.2020 07:21 AM,10.0
221,1146,bank card,08.01.2020 09:23 AM,19.0
222,407,bank card,08.01.2020 10:12 AM,15.0
223,209,from another phone,08.01.2020 11:23 AM,26.0
224,1004,bank card,08.01.2020 12:30 AM,15.0
225,674,from another phone,08.01.2020 12:58 AM,21.0
226,1334,bank card,08.01.2020 03:17 PM,24.0
227,1055,bank card,08.01.2020 03:36 PM,24.0
228,1269,bank card,08.01.2020 05:01 PM,50.0
229,263,from terminal,08.01.2020 05:59 PM,27.0
230,771,from terminal,08.01.2020 07:08 PM,15.0
231,465,bank card,08.01.2020 07:12 PM,26.0
232,1126,bank card,08.01.2020 07:34 PM,25.0
233,1050,from terminal,08.01.2020 07:36 PM,15.0
234,917,bank card,08.01.2020 07:47 PM,21.0
235,958,bank card,08.01.2020 08:17 PM,90.0
236,88,bank card,08.01.2020 10:07 PM,22.0
237,681,bank card,08.01.2020 11:17 PM,50.0
238,386,from another phone,08.01.2020 11:46 PM,15.0
239,1181,bank card,08.01.2020 12:30 PM,22.0
240,1100,bank card,09.01.2020 01:10 AM,24.0
241,979,from terminal,09.01.2020 02:54 AM,18.0
242,770,bank card,09.01.2020 03:51 AM,21.0
243,1335,bank card,09.01.2020 05:14 AM,23.0
244,318,from terminal,09.01.2020 05:18 AM,24.0
245,1265,from terminal,09.01.2020 05:29 AM,21.0
246,210,bank card,09.01.2020 07:15 AM,25.0
247,915,from terminal,09.01.2020 07:29 AM,22.0
248,506,bank card,09.01.2020 07:45 AM,21.0
249,1344,bank card,09.01.2020 09:18 AM,90.0
250,790,bank card,09.01.2020 10:02 AM,50.0
251,571,bank card,09.01.2020 11:27 AM,140.0
252,662,from terminal,09.01.2020 11:46 AM,15.0
253,71,from terminal,09.01.2020 12:26 AM,22.0
254,1310,from another phone,09.01.2020 12:38 AM,90.0
255,849,bank card,09.01.2020 02:08 PM,27.0
256,824,bank card,09.01.2020 03:51 PM,15.0
257,587,bank card,09.01.2020 05:41 PM,90.0
258,1016,bank card,09.01.2020 07:20 PM,21.0
259,741,bank card,09.01.2020 09:30 PM,15.0
260,850,from terminal,09.01.2020 10:56 PM,22.0
261,725,bank card,09.01.2020 12:34 PM,26.0
262,37,bank card,09.01.2020 12:35 PM,23.0
263,426,bank card,09.01.2020 12:58 PM,23.0
264,1316,from terminal,10.01.2020 03:10 AM,15.0
265,537,from another phone,10.01.2020 03:22 AM,21.0
266,66,from terminal,10.01.2020 04:30 AM,50.0
267,89,bank card,10.01.2020 05:51 AM,21.0
268,732,bank card,10.01.2020 06:23 AM,26.0
269,1346,from terminal,10.01.2020 09:00 AM,20.0
270,123,bank card,10.01.2020 09:31 AM,25.0
271,177,bank card,10.01.2020 09:40 AM,10.0
272,896,from another phone,10.01.2020 11:08 AM,19.0
273,523,bank card,10.01.2020 11:35 AM,90.0
274,1359,bank card,10.01.2020 11:53 AM,50.0
275,5,bank card,10.01.2020 12:22 AM,15.0
276,1323,bank card,10.01.2020 12:39 AM,15.0
277,1092,from terminal,10.01.2020 12:57 AM,30.0
278,321,bank card,10.01.2020 01:26 PM,140.0
279,998,bank card,10.01.2020 02:14 PM,24.0
280,23,bank card,10.01.2020 04:33 PM,27.0
281,1008,bank card,10.01.2020 05:33 PM,23.0
282,215,bank card,10.01.2020 06:20 PM,25.0
283,722,bank card,10.01.2020 06:45 PM,140.0
284,200,from terminal,10.01.2020 06:51 PM,15.0
285,539,from terminal,10.01.2020 07:05 PM,17.0
286,1294,bank card,10.01.2020 09:40 PM,21.0
287,579,from another phone,11.01.2020 01:01 AM,25.0
288,1114,bank card,11.01.2020 02:47 AM,50.0
289,1372,from terminal,11.01.2020 02:55 AM,23.0
290,934,bank card,11.01.2020 04:46 AM,21.0
291,419,bank card,11.01.2020 04:56 AM,21.0
292,643,bank card,11.01.2020 06:51 AM,50.0
293,351,bank card,11.01.2020 07:03 AM,25.0
294,205,from another phone,11.01.2020 08:04 AM,26.0
295,308,bank card,11.01.2020 10:32 AM,25.0
296,746,from terminal,11.01.2020 10:58 AM,20.0
297,355,from terminal,11.01.2020 11:08 AM,23.0
298,800,bank card,11.01.2020 11:19 AM,15.0
299,410,from another phone,11.01.2020 12:24 AM,19.0
300,782,bank card,11.01.2020 12:30 AM,23.0
301,1094,bank card,11.01.2020 01:43 PM,23.0
302,1381,bank card,11.01.2020 01:46 PM,21.0
303,1133,from another phone,11.01.2020 04:07 PM,15.0
304,298,bank card,11.01.2020 05:02 PM,140.0
305,623,bank card,11.01.2020 06:37 PM,21.0
306,561,bank card,11.01.2020 07:12 PM,24.0
307,1249,from terminal,11.01.2020 07:44 PM,25.0
308,1066,from terminal,11.01.2020 08:24 PM,23.0
309,313,bank card,11.01.2020 08:42 PM,26.0
310,913,bank card,11.01.2020 09:07 PM,22.0
311,911,from terminal,11.01.2020 09:12 PM,22.0
312,317,bank card,11.01.2020 10:43 PM,20.0
313,751,bank card,11.01.2020 11:16 PM,90.0
314,292,bank card,11.01.2020 12:38 PM,50.0
315,1370,bank card,11.01.2020 12:42 PM,23.0
316,316,from another phone,12.01.2020 02:09 AM,20.0
317,1181,bank card,12.01.2020 02:12 AM,22.0
318,1384,bank card,12.01.2020 03:33 AM,24.0
319,999,bank card,12.01.2020 04:59 AM,25.0
320,916,from another phone,12.01.2020 05:44 AM,15.0
321,1010,bank card,12.01.2020 06:31 AM,24.0
322,897,bank card,12.01.2020 07:25 AM,10.0
323,70,bank card,12.01.2020 09:12 AM,90.0
324,486,from terminal,12.01.2020 10:39 AM,22.0
325,452,bank card,12.01.2020 11:26 AM,50.0
326,359,bank card,12.01.2020 12:21 AM,20.0
327,370,bank card,12.01.2020 01:46 PM,24.0
328,561,bank card,12.01.2020 01:58 PM,50.0
329,731,bank card,12.01.2020 03:01 PM,90.0
330,689,bank card,12.01.2020 03:12 PM,10.0
331,1086,bank card,12.01.2020 03:22 PM,15.0
332,1337,bank card,12.01.2020 03:30 PM,27.0
333,615,from terminal,12.01.2020 03:57 PM,23.0
334,965,bank card,12.01.2020 04:26 PM,25.0
335,558,bank card,12.01.2020 07:19 PM,90.0
336,885,from terminal,12.01.2020 07:49 PM,23.0
337,596,bank card,12.01.2020 09:28 PM,24.0
338,969,from another phone,12.01.2020 09:59 PM,10.0
339,502,bank card,12.01.2020 11:37 PM,27.0
340,1314,bank card,12.01.2020 11:54 PM,90.0
341,906,bank card,12.01.2020 12:30 PM,23.0
342,187,from terminal,13.01.2020 02:12 AM,22.0
343,219,bank card,13.01.2020 02:19 AM,21.0
344,779,bank card,13.01.2020 04:11 AM,15.0
345,116,from terminal,13.01.2020 04:17 AM,22.0
346,288,bank card,13.01.2020 05:34 AM,25.0
347,1021,from another phone,13.01.2020 06:02 AM,25.0
348,1197,bank card,13.01.2020 06:16 AM,15.0
349,634,bank card,13.01.2020 06:20 AM,17.0
350,144,from terminal,13.01.2020 06:47 AM,24.0
351,372,bank card,13.01.2020 07:58 AM,24.0
352,1308,bank card,13.01.2020 08:33 AM,19.0
353,1284,bank card,13.01.2020 08:49 AM,90.0
354,122,bank card,13.01.2020 10:46 AM,27.0
355,286,from another phone,13.01.2020 11:29 AM,140.0
356,1234,from terminal,13.01.2020 11:39 AM,15.0
357,500,from another phone,13.01.2020 12:20 AM,50.0
358,646,bank card,13.01.2020 12:28 AM,15.0
359,779,bank card,13.01.2020 12:31 AM,26.0
360,710,bank card,13.01.2020 04:01 PM,15.0
361,1291,from another phone,13.01.2020 04:12 PM,23.0
362,647,bank card,13.01.2020 04:13 PM,24.0
363,776,bank card,13.01.2020 05:27 PM,21.0
364,961,from terminal,13.01.2020 05:59 PM,20.0
365,1036,from terminal,13.01.2020 06:07 PM,22.0
366,140,bank card,13.01.2020 06:52 PM,50.0
367,12,bank card,13.01.2020 07:00 PM,22.0
368,886,bank card,13.01.2020 07:14 PM,21.0
369,1040,bank card,13.01.2020 08:07 PM,22.0
370,203,bank card,13.01.2020 08:14 PM,25.0
371,960,bank card,13.01.2020 08:19 PM,15.0
372,781,bank card,13.01.2020 08:42 PM,16.0
373,411,bank card,13.01.2020 09:19 PM,15.0
374,299,bank card,13.01.2020 09:53 PM,23.0
375,726,bank card,13.01.2020 10:33 PM,19.0
376,478,bank card,13.01.2020 12:18 PM,24.0
377,551,bank card,13.01.2020 12:51 PM,23.0
378,298,bank card,14.01.2020 01:10 AM,20.0
379,408,from terminal,14.01.2020 01:54 AM,15.0
380,149,bank card,14.01.2020 02:14 AM,24.0
381,987,bank card,14.01.2020 04:17 AM,25.0
382,626,bank card,14.01.2020 04:22 AM,15.0
383,983,bank card,14.01.2020 04:25 AM,140.0
384,276,from another phone,14.01.2020 04:42 AM,24.0
385,1301,bank card,14.01.2020 04:55 AM,15.0
386,221,bank card,14.01.2020 05:01 AM,15.0
387,1237,from terminal,14.01.2020 05:05 AM,19.0
388,480,bank card,14.01.2020 05:12 AM,25.0
389,93,bank card,14.01.2020 05:28 AM,20.0
390,674,from another phone,14.01.2020 05:29 AM,20.0
391,764,bank card,14.01.2020 06:57 AM,15.0
392,66,bank card,14.01.2020 07:26 AM,15.0
393,130,from terminal,14.01.2020 07:41 AM,50.0
394,110,from another phone,14.01.2020 07:55 AM,20.0
395,10,from terminal,14.01.2020 08:06 AM,50.0
396,535,bank card,14.01.2020 08:18 AM,25.0
397,1173,bank card,14.01.2020 08:38 AM,15.0
398,186,bank card,14.01.2020 08:53 AM,22.0
399,974,bank card,14.01.2020 09:05 AM,10.0
400,217,bank card,14.01.2020 09:47 AM,22.0
401,1201,bank card,14.01.2020 10:28 AM,26.0
402,114,bank card,14.01.2020 11:06 AM,50.0
403,171,bank card,14.01.2020 12:22 AM,140.0
404,1364,bank card,14.01.2020 02:15 PM,19.0
405,870,from another phone,14.01.2020 04:16 PM,21.0
406,884,bank card,14.01.2020 07:14 PM,90.0
407,915,bank card,14.01.2020 07:25 PM,26.0
408,1065,bank card,14.01.2020 07:33 PM,23.0
409,1280,from terminal,14.01.2020 08:12 PM,24.0
410,74,from another phone,14.01.2020 09:55 PM,24.0
411,639,bank card,14.01.2020 10:34 PM,19.0
412,954,bank card,14.01.2020 10:45 PM,22.0
413,565,bank card,14.01.2020 11:09 PM,18.0
414,560,bank card,15.01.2020 01:18 AM,21.0
415,1053,bank card,15.01.2020 01:20 AM,19.0
416,459,bank card,15.01.2020 03:42 AM,22.0
417,821,bank card,15.01.2020 04:12 AM,15.0
418,385,bank card,15.01.2020 04:14 AM,23.0
419,990,bank card,15.01.2020 04:43 AM,50.0
420,754,from another phone,15.01.2020 04:52 AM,19.0
421,680,bank card,15.01.2020 08:12 AM,90.0
422,53,bank card,15.01.2020 10:44 AM,15.0
423,166,bank card,15.01.2020 11:15 AM,90.0
424,974,from another phone,15.01.2020 12:32 AM,50.0
425,341,bank card,15.01.2020 03:57 PM,50.0
426,989,bank card,15.01.2020 03:59 PM,24.0
427,1359,from terminal,15.01.2020 04:43 PM,24.0
428,1130,bank card,15.01.2020 05:07 PM,27.0
429,91,from another phone,15.01.2020 05:28 PM,21.0
430,436,bank card,15.01.2020 07:04 PM,19.0
431,761,bank card,15.01.2020 08:42 PM,28.0
432,1333,from terminal,15.01.2020 08:46 PM,20.0
433,964,bank card,15.01.2020 09:48 PM,27.0
434,627,from terminal,15.01.2020 10:30 PM,24.0
435,434,from another phone,15.01.2020 11:38 PM,10.0
436,1138,bank card,15.01.2020 12:10 PM,18.0
437,1296,bank card,15.01.2020 12:16 PM,19.0
438,718,from terminal,15.01.2020 12:28 PM,15.0
439,1330,bank card,15.01.2020 12:47 PM,15.0
440,250,bank card,15.01.2020 12:56 PM,24.0
441,420,bank card,16.01.2020 02:51 AM,23.0
442,1317,bank card,16.01.2020 03:00 AM,23.0
443,484,bank card,16.01.2020 03:32 AM,22.0
444,14,bank card,16.01.2020 04:46 AM,24.0
445,763,from terminal,16.01.2020 05:38 AM,25.0
446,415,bank card,16.01.2020 06:41 AM,25.0
447,810,from terminal,16.01.2020 07:50 AM,21.0
448,1374,from another phone,16.01.2020 08:54 AM,21.0
449,1290,bank card,16.01.2020 09:34 AM,27.0
450,1083,from terminal,16.01.2020 10:40 AM,23.0
451,448,from terminal,16.01.2020 11:21 AM,20.0
452,1365,bank card,16.01.2020 01:23 PM,15.0
453,1208,from terminal,16.01.2020 01:44 PM,21.0
454,926,bank card,16.01.2020 02:08 PM,22.0
455,1231,bank card,16.01.2020 02:12 PM,20.0
456,84,bank card,16.01.2020 02:29 PM,23.0
457,1298,from terminal,16.01.2020 02:43 PM,23.0
458,977,bank card,16.01.2020 03:05 PM,15.0
459,1211,bank card,16.01.2020 03:45 PM,23.0
460,513,from terminal,16.01.2020 05:37 PM,90.0
461,403,bank card,16.01.2020 06:03 PM,15.0
462,444,bank card,16.01.2020 08:46 PM,90.0
463,965,from another phone,16.01.2020 10:04 PM,22.0
464,136,from terminal,16.01.2020 10:47 PM,25.0
465,27,bank card,16.01.2020 11:20 PM,15.0
466,1100,bank card,17.01.2020 01:46 AM,20.0
467,1219,bank card,17.01.2020 03:46 AM,15.0
468,949,bank card,17.01.2020 05:02 AM,25.0
469,412,bank card,17.01.2020 05:03 AM,15.0
470,342,from terminal,17.01.2020 05:14 AM,50.0
471,91,from terminal,17.01.2020 06:15 AM,21.0
472,113,bank card,17.01.2020 06:44 AM,140.0
473,67,bank card,17.01.2020 06:51 AM,18.0
474,1057,bank card,17.01.2020 06:59 AM,50.0
475,367,bank card,17.01.2020 07:13 AM,25.0
476,391,bank card,17.01.2020 07:18 AM,25.0
477,1340,bank card,17.01.2020 09:11 AM,27.0
478,765,bank card,17.01.2020 09:48 AM,24.0
479,601,from terminal,17.01.2020 10:37 AM,25.0
480,291,bank card,17.01.2020 11:58 AM,24.0
481,654,bank card,17.01.2020 12:46 AM,15.0
482,419,bank card,17.01.2020 04:03 PM,23.0
483,348,bank card,17.01.2020 04:45 PM,19.0
484,160,from another phone,17.01.2020 05:12 PM,24.0
485,1135,bank card,17.01.2020 06:18 PM,15.0
486,157,from terminal,17.01.2020 07:00 PM,23.0
487,741,bank card,17.01.2020 07:01 PM,24.0
488,950,bank card,17.01.2020 07:29 PM,24.0
489,1054,bank card,17.01.2020 07:44 PM,21.0
490,954,from another phone,17.01.2020 08:11 PM,21.0
491,855,bank card,17.01.2020 08:22 PM,25.0
492,945,bank card,17.01.2020 10:07 PM,21.0
493,492,bank card,17.01.2020 12:11 PM,21.0
494,890,bank card,17.01.2020 12:20 PM,21.0
495,560,from terminal,17.01.2020 12:53 PM,28.0
496,1361,bank card,18.01.2020 01:53 AM,90.0
497,1148,bank card,18.01.2020 02:27 AM,21.0
498,1305,bank card,18.01.2020 02:47 AM,20.0
499,801,from terminal,18.01.2020 03:00 AM,24.0
500,236,bank card,18.01.2020 03:00 AM,31.0
501,999,bank card,18.01.2020 04:47 AM,22.0
502,542,from terminal,18.01.2020 04:55 AM,90.0
503,866,bank card,18.01.2020 05:07 AM,24.0
504,1139,from terminal,18.01.2020 05:09 AM,10.0
505,113,from terminal,18.01.2020 05:53 AM,29.0
506,770,from another phone,18.01.2020 07:12 AM,21.0
507,1261,bank card,18.01.2020 07:35 AM,23.0
508,1243,bank card,18.01.2020 07:42 AM,18.0
509,1312,bank card,18.01.2020 07:58 AM,21.0
510,1100,from another phone,18.01.2020 08:23 AM,20.0
511,1057,bank card,18.01.2020 10:57 AM,25.0
512,1108,bank card,18.01.2020 11:09 AM,20.0
513,412,from terminal,18.01.2020 12:22 AM,28.0
514,952,bank card,18.01.2020 02:06 PM,26.0
515,1109,bank card,18.01.2020 02:26 PM,50.0
516,753,bank card,18.01.2020 02:51 PM,50.0
517,813,from terminal,18.01.2020 04:45 PM,90.0
518,644,bank card,18.01.2020 05:43 PM,15.0
519,506,bank card,18.01.2020 06:17 PM,20.0
520,961,bank card,18.01.2020 06:32 PM,15.0
521,416,from another phone,18.01.2020 07:27 PM,25.0
522,464,bank card,18.01.2020 10:24 PM,23.0
523,1268,bank card,18.01.2020 10:43 PM,23.0
524,326,bank card,18.01.2020 11:35 PM,24.0
